date,aircraft_registration,aircraft_type,type_of_occurance,place_of_occurance,status,report,report_link,geocode,latitude,longitude,formatted_address
"September 9, 2018",RP-C8158,McDonnell Douglas (MD) 369 E,Ditched into the sea during over,International Water near the Federated States of Micronesia,Completed,Summary,https://www.caap.gov.ph?download=9397,,3.65,160.266667,
"August 16, 2018",B-5498,Boeing 737-800,Runway Lateral Excursion,"Ninoy Aquino International Airport (RPLL) Manila, Philippines",Completed,Summary,https://www.caap.gov.ph?download=9119,"{'address_components': [{'long_name': 'Ninoy Aquino International Airport', 'short_name': 'NAIA', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Andrews Avenue', 'short_name': 'Andrews Ave', 'types': ['route']}, {'long_name': 'Pasay', 'short_name': 'Pasay', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '1300', 'short_name': '1300', 'types': ['postal_code']}], 'formatted_address': 'Ninoy Aquino International Airport (MNL), Andrews Ave, Pasay, 1300 Metro Manila, Philippines', 'geometry': {'location': {'lat': 14.5122739, 'lng': 121.016508}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.5136228802915, 'lng': 121.0178569802915}, 'southwest': {'lat': 14.5109249197085, 'lng': 121.0151590197085}}}, 'place_id': 'ChIJd0270sXOlzMREUQRimL6JIo', 'plus_code': {'compound_code': 'G268+WJ Pasay, Metro Manila, Philippines', 'global_code': '7Q63G268+WJ'}, 'types': ['airport', 'establishment', 'point_of_interest']}",14.5122739,121.016508,"Ninoy Aquino International Airport (MNL), Andrews Ave, Pasay, 1300 Metro Manila, Philippines"
"June 6, 2018",RP-C1811,Robinson Helicopter Company R44 II,Main Rotor Failure during Take-Off,"DOLE Plantation, Sitio Glandang, Barangay Kablon, Tupi, South Cotabato, Philippines",Completed,Summary,http://www.caap.gov.ph?download=7517,"{'address_components': [{'long_name': 'South Cotabato - Sarangani Road', 'short_name': 'S Cotabato - Sarangani Rd', 'types': ['route']}, {'long_name': 'Tupi', 'short_name': 'Tupi', 'types': ['locality', 'political']}, {'long_name': 'Timog Cotabato', 'short_name': 'Timog Cotabato', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'SOCCSKSARGEN', 'short_name': 'SOCCSKSARGEN', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '9505', 'short_name': '9505', 'types': ['postal_code']}], 'formatted_address': 'Barangay Polonuling, S Cotabato - Sarangani Rd, Tupi, 9505 Timog Cotabato, Philippines', 'geometry': {'location': {'lat': 6.2960142, 'lng': 124.9858533}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 6.297363180291502, 'lng': 124.9872022802915}, 'southwest': {'lat': 6.294665219708498, 'lng': 124.9845043197085}}}, 'place_id': 'ChIJ0deTt-WO9zIR8aHk191JN3I', 'plus_code': {'compound_code': '7XWP+C8 Tupi, South Cotabato, Philippines', 'global_code': '6QR67XWP+C8'}, 'types': ['establishment', 'food', 'point_of_interest']}",6.2960142,124.9858533,"Barangay Polonuling, S Cotabato - Sarangani Rd, Tupi, 9505 Timog Cotabato, Philippines"
"December 10, 2017",RP-C938,BE-P35,Departure Stall,"Skyhawk Airstrip, Tuy, Batangas, Philippines",Completed,Summary,http://www.caap.gov.ph?download=7806,"{'address_components': [{'long_name': 'Tuy', 'short_name': 'Tuy', 'types': ['locality', 'political']}, {'long_name': 'Batangas', 'short_name': 'Batangas', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Calabarzon', 'short_name': 'Calabarzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Tuy, Batangas, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 14.0803044, 'lng': 120.8001708}, 'southwest': {'lat': 13.9810464, 'lng': 120.6834412}}, 'location': {'lat': 14.0220752, 'lng': 120.7283538}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 14.0803044, 'lng': 120.8001708}, 'southwest': {'lat': 13.9810464, 'lng': 120.6834412}}}, 'partial_match': True, 'place_id': 'ChIJX609Dg6ZvTMRUYR3Q705iLY', 'types': ['locality', 'political']}",14.0220752,120.7283538,"Tuy, Batangas, Philippines"
"November 26, 2017",RP-C2586,Cessna 152,Engine Fire,"South East Apron, Subic Bay International Airport,  SBMA, Zambales, Philippines",Completed,Summary,http://www.caap.gov.ph?download=6472,"{'address_components': [{'long_name': 'Subic Bay Freeport Zone', 'short_name': 'SBFZ', 'types': ['colloquial_area', 'political']}, {'long_name': 'Central Luzon', 'short_name': 'Central Luzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Subic Bay Freeport Zone, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 14.8511131, 'lng': 120.3861237}, 'southwest': {'lat': 14.7370344, 'lng': 120.2420799}}, 'location': {'lat': 14.7690037, 'lng': 120.3204873}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 14.8511131, 'lng': 120.3861237}, 'southwest': {'lat': 14.7370344, 'lng': 120.2420799}}}, 'partial_match': True, 'place_id': 'ChIJuwE5ZYlxljMRnGyIFlkbITI', 'types': ['colloquial_area', 'political']}",14.7690037,120.3204873,"Subic Bay Freeport Zone, Philippines"
"November 7, 2017",RP-C1955,Cessna 152,Controlled flight into terrain,"Brgy. Decoliat, Maria Aurora, Aurora Province, Philippines",Completed,Summary,https://www.caap.gov.ph?download=9625,"{'address_components': [{'long_name': 'San Juan - Decoliat Road', 'short_name': 'San Juan - Decoliat Rd', 'types': ['route']}, {'long_name': 'Maria Aurora', 'short_name': 'Maria Aurora', 'types': ['locality', 'political']}, {'long_name': 'Aurora', 'short_name': 'Aurora', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Luzon', 'short_name': 'Central Luzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'San Juan - Decoliat Rd, Maria Aurora, Aurora, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 15.7886163, 'lng': 121.322709}, 'southwest': {'lat': 15.7524983, 'lng': 121.3084088}}, 'location': {'lat': 15.7710927, 'lng': 121.3167094}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 15.7886163, 'lng': 121.322709}, 'southwest': {'lat': 15.7524983, 'lng': 121.3084088}}}, 'partial_match': True, 'place_id': 'ChIJ6Wvq0h65kDMRmLCdWEbjswg', 'types': ['route']}",15.7710927,121.3167094,"San Juan - Decoliat Rd, Maria Aurora, Aurora, Philippines"
"May 19, 2017",RP-R4169 & RP-R3029,Allied AgCat G-164B & Thrush Aircraft S2R,Ground Collision,"Mindanao Agricultural Training Center Airstrip (MATC), Sampao, Kapalong, Davao del Norte",Completed,Summary,https://www.caap.gov.ph?download=9829,"{'address_components': [{'long_name': 'Sampao (Bienvenida)', 'short_name': 'Sampao (Bienvenida)', 'types': ['administrative_area_level_5', 'political']}, {'long_name': 'Kapalong', 'short_name': 'Kapalong', 'types': ['locality', 'political']}, {'long_name': 'Davao del Norte', 'short_name': 'Davao del Norte', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Davao Region', 'short_name': 'Davao Region', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Sampao (Bienvenida), Kapalong, Davao del Norte, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 7.631189, 'lng': 125.694323}, 'southwest': {'lat': 7.600669, 'lng': 125.647798}}, 'location': {'lat': 7.619336999999999, 'lng': 125.6696802}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 7.631189, 'lng': 125.694323}, 'southwest': {'lat': 7.600669, 'lng': 125.647798}}}, 'partial_match': True, 'place_id': 'ChIJmR1_Fb-w_jIRdMW1Anj3FlY', 'types': ['administrative_area_level_5', 'political']}",7.619336999999999,125.6696802,"Sampao (Bienvenida), Kapalong, Davao del Norte, Philippines"
"April 7, 2017",RP-C3565,Cessna 172S,Bounced Landing,"Clark International Airport, Angeles Pampanga",On-going,Interim Report,http://www.caap.gov.ph?download=7837,"{'address_components': [{'long_name': 'Clark International Airport', 'short_name': 'Clark International Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Andres Bonifacio Avenue', 'short_name': 'Andres Bonifacio Ave', 'types': ['route']}, {'long_name': 'Clark Freeport Zone', 'short_name': 'Clark Freeport Zone', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Mabalacat', 'short_name': 'Mabalacat', 'types': ['locality', 'political']}, {'long_name': 'Pampanga', 'short_name': 'Pampanga', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '2023', 'short_name': '2023', 'types': ['postal_code']}], 'formatted_address': 'Clark International Airport (CRK), Andres Bonifacio Avenue Clark Special Economic Zone, Clark Field, Andres Bonifacio Ave, Clark Freeport Zone, Mabalacat, 2023 Pampanga, Philippines', 'geometry': {'location': {'lat': 15.1846488, 'lng': 120.5569236}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 15.1859977802915, 'lng': 120.5582725802915}, 'southwest': {'lat': 15.1832998197085, 'lng': 120.5555746197085}}}, 'place_id': 'ChIJwbMFPkLtljMRfuV9F3sH9Rg', 'plus_code': {'compound_code': '5HM4+VQ Mabalacat, Pampanga, Philippines', 'global_code': '7Q725HM4+VQ'}, 'types': ['airport', 'establishment', 'point_of_interest']}",15.1846488,120.5569236,"Clark International Airport (CRK), Andres Bonifacio Avenue Clark Special Economic Zone, Clark Field, Andres Bonifacio Ave, Clark Freeport Zone, Mabalacat, 2023 Pampanga, Philippines"
"March 31, 2017",RP-R2923,"Allied Ag Cat Productions, Inc. G-164A",Forced landing due to loss of engine power,"Sumipru Subasta Banana Plantation, Barangay Subasta, Calinan District, Davao City",Completed,Summary,http://www.caap.gov.ph?download=6491,"{'address_components': [{'long_name': 'Subasta', 'short_name': 'Subasta', 'types': ['neighborhood', 'political']}, {'long_name': 'Calinan District', 'short_name': 'Calinan District', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Davao City', 'short_name': 'Davao City', 'types': ['locality', 'political']}, {'long_name': 'Davao del Sur', 'short_name': 'Davao del Sur', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Davao Region', 'short_name': 'Davao Region', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Subasta, Calinan District, Davao City, Davao del Sur, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 7.156505999999999, 'lng': 125.4677189}, 'southwest': {'lat': 7.1207491, 'lng': 125.4109954}}, 'location': {'lat': 7.143909499999999, 'lng': 125.4371006}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 7.156505999999999, 'lng': 125.4677189}, 'southwest': {'lat': 7.1207491, 'lng': 125.4109954}}}, 'partial_match': True, 'place_id': 'ChIJmzNOOioR-TIRop43QIwgaNc', 'types': ['neighborhood', 'political']}",7.143909499999999,125.4371006,"Subasta, Calinan District, Davao City, Davao del Sur, Philippines"
"January 13, 2017",RP-C5034,Cessna 172M,Runway excursion during landing,"San Fernando Airport (RPUS) San  Fernando, La Union, Philippines",On-going,Interim Report,http://www.caap.gov.ph?download=7840,"{'address_components': [{'long_name': 'San Fernando (Poro Point) Airport', 'short_name': 'San Fernando (Poro Point) Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'San Fernando', 'short_name': 'San Fernando', 'types': ['locality', 'political']}, {'long_name': 'La Union', 'short_name': 'La Union', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ilocos Region', 'short_name': 'Ilocos Region', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'San Fernando (Poro Point) Airport (SFE), San Fernando, La Union, Philippines', 'geometry': {'location': {'lat': 16.59447, 'lng': 120.303296}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 16.5958189802915, 'lng': 120.3046449802915}, 'southwest': {'lat': 16.5931210197085, 'lng': 120.3019470197085}}}, 'place_id': 'ChIJC8xvDqyPkTMROftAuQ9wD4k', 'plus_code': {'compound_code': 'H8V3+Q8 San Fernando, La Union, Philippines', 'global_code': '7Q82H8V3+Q8'}, 'types': ['airport', 'establishment', 'point_of_interest']}",16.59447,120.303296,"San Fernando (Poro Point) Airport (SFE), San Fernando, La Union, Philippines"
