date,aircraft_registration,aircraft_type,type_of_occurance,place_of_occurance,status,report,report_link,geocode,latitude,longitude,formatted_address
2019-01-10,RP-R8306,Allied AG CAT Production Inc./G164A-34T,Propeller Strike upon Landing,"Bo. A.O. Floreindo, Panabo City, Davao del Norte, Philippines",Completed,Summary,http://www.caap.gov.ph?download=6431,"{'address_components': [{'long_name': 'Panabo', 'short_name': 'Panabo', 'types': ['locality', 'political']}, {'long_name': 'Davao del Norte', 'short_name': 'Davao del Norte', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Brgy. A.O. Floirendo, 8105, Panabo, Davao del Norte, Philippines', 'geometry': {'location': {'lat': 7.3961028, 'lng': 125.5808102}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 7.397451780291502, 'lng': 125.5821591802915}, 'southwest': {'lat': 7.394753819708497, 'lng': 125.5794612197085}}}, 'partial_match': True, 'place_id': 'ChIJT30pi8VJ-TIRWoD_hNidwzQ', 'plus_code': {'compound_code': '9HWJ+C8 Panabo, Davao del Norte, Philippines', 'global_code': '6QV79HWJ+C8'}, 'types': ['establishment', 'point_of_interest', 'school']}",7.3961028,125.5808102,"Brgy. A.O. Floirendo, 8105, Panabo, Davao del Norte, Philippines"
2017-03-12,RP-R2546,Bell Helicopter 206B,Loss of tail rotor effectiveness,"Lapanday Food Corp., Airstrip, Tampakan, South Cotabato",On-going,Interim Report,http://www.caap.gov.ph?download=7853,"{'address_components': [{'long_name': 'Lapanday Foods Corporation Airstrip', 'short_name': 'Lapanday Foods Corporation Airstrip', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Tampakan', 'short_name': 'Tampakan', 'types': ['locality', 'political']}, {'long_name': 'Timog Cotabato', 'short_name': 'Timog Cotabato', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'SOCCSKSARGEN', 'short_name': 'SOCCSKSARGEN', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Lapanday Foods Corporation Airstrip, Barangay Kipalbig, Tampakan, Timog Cotabato, Philippines', 'geometry': {'location': {'lat': 6.410921999999999, 'lng': 124.9349141}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 6.412270980291502, 'lng': 124.9362630802915}, 'southwest': {'lat': 6.409573019708497, 'lng': 124.9335651197085}}}, 'place_id': 'ChIJq3Nq2Lgg-DIRzlk9jfkE8mQ', 'plus_code': {'compound_code': 'CW6M+9X Tampakan, South Cotabato, Philippines', 'global_code': '6QR6CW6M+9X'}, 'types': ['airport', 'establishment', 'point_of_interest']}",6.410921999999999,124.9349141,"Lapanday Foods Corporation Airstrip, Barangay Kipalbig, Tampakan, Timog Cotabato, Philippines"
2017-03-10,RP-C2791,Bonanza A36,Gear up landing,Ilo-Ilo International Airport,On-going,Interim Report,http://www.caap.gov.ph?download=7858,"{'address_components': [{'long_name': 'Iloilo International Airport', 'short_name': 'Iloilo International Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Iloilo International Airport (ILO), Iloilo Airport Access Road,Cabatuan 5031,Iloilo, Philippines', 'geometry': {'location': {'lat': 10.8315005, 'lng': 122.4962073}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 10.8328494802915, 'lng': 122.4975562802915}, 'southwest': {'lat': 10.8301515197085, 'lng': 122.4948583197085}}}, 'place_id': 'ChIJmY9Qtwr9rjMR95PiQkQJxJw', 'plus_code': {'compound_code': 'RFJW+JF Cabatuan, Iloilo, Philippines', 'global_code': '7Q24RFJW+JF'}, 'types': ['airport', 'establishment', 'point_of_interest']}",10.8315005,122.4962073,"Iloilo International Airport (ILO), Iloilo Airport Access Road,Cabatuan 5031,Iloilo, Philippines"
2017-01-29,RP-C3020,Bombardier DHC-8-314/583,Runway excursion during taxi,"Catarman Airport, Catarman, Northern Samar, Philippines",On-going,Interim Report,http://www.caap.gov.ph?download=7861,"{'address_components': [{'long_name': 'Catarman National Airport', 'short_name': 'Catarman National Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Catarman', 'short_name': 'Catarman', 'types': ['locality', 'political']}, {'long_name': 'Northern Samar', 'short_name': 'Northern Samar', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Catarman National Airport (CRM), Brgy. Dalakit,, Catarman, Northern Samar, Philippines', 'geometry': {'location': {'lat': 12.5048506, 'lng': 124.6363193}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 12.5061995802915, 'lng': 124.6376682802915}, 'southwest': {'lat': 12.5035016197085, 'lng': 124.6349703197085}}}, 'place_id': 'ChIJgVhPy-0BCjMRlGhgb8Ov8XY', 'plus_code': {'compound_code': 'GJ3P+WG Catarman, Northern Samar, Philippines', 'global_code': '7Q46GJ3P+WG'}, 'types': ['airport', 'establishment', 'point_of_interest']}",12.5048506,124.6363193,"Catarman National Airport (CRM), Brgy. Dalakit,, Catarman, Northern Samar, Philippines"
2017-01-28,RP-C9914,Airbus A321-231,Taxiway excursion,Kalibo International Airport,On-going,Interim Report,http://www.caap.gov.ph?download=7864,"{'address_components': [{'long_name': 'Kalibo International Airport', 'short_name': 'Kalibo International Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Kalibo International Airport Access Road', 'short_name': 'Kalibo International Airport Access Road', 'types': ['route']}, {'long_name': 'Kalibo', 'short_name': 'Kalibo', 'types': ['locality', 'political']}, {'long_name': 'Aklan', 'short_name': 'Aklan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Western Visayas', 'short_name': 'Western Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '5600', 'short_name': '5600', 'types': ['postal_code']}], 'formatted_address': 'Kalibo International Airport (KLO), Kalibo International Airport Access Road, Kalibo, 5600 Aklan, Philippines', 'geometry': {'location': {'lat': 11.6859324, 'lng': 122.3808504}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 11.6872813802915, 'lng': 122.3821993802915}, 'southwest': {'lat': 11.6845834197085, 'lng': 122.3795014197085}}}, 'place_id': 'ChIJiSeRGWudpTMRpfVW8G1UMVc', 'plus_code': {'compound_code': 'M9PJ+98 Kalibo, Aklan, Philippines', 'global_code': '7Q34M9PJ+98'}, 'types': ['airport', 'establishment', 'point_of_interest']}",11.6859324,122.3808504,"Kalibo International Airport (KLO), Kalibo International Airport Access Road, Kalibo, 5600 Aklan, Philippines"
2016-06-06,RP-C4429,Cessna 152,Hard landing resulting to flat tire of the nose landing gear,"Runway 36, Ormoc Airport, Ormoc City",On-going,Interim Report,http://www.caap.gov.ph?download=7967,"{'address_components': [{'long_name': 'Ormoc Airport', 'short_name': 'Ormoc Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Ormoc', 'short_name': 'Ormoc', 'types': ['locality', 'political']}, {'long_name': 'Leyte', 'short_name': 'Leyte', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Eastern Visayas', 'short_name': 'Eastern Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '6541', 'short_name': '6541', 'types': ['postal_code']}], 'formatted_address': 'Ormoc Airport (OMC), Ormoc, 6541 Leyte, Philippines', 'geometry': {'location': {'lat': 11.055485, 'lng': 124.5663306}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 11.0568339802915, 'lng': 124.5676795802915}, 'southwest': {'lat': 11.0541360197085, 'lng': 124.5649816197085}}}, 'place_id': 'ChIJ50eKnmT3BzMRPu5jBcw2fzg', 'plus_code': {'compound_code': '3H48+5G Ormoc, Leyte, Philippines', 'global_code': '7Q363H48+5G'}, 'types': ['airport', 'establishment', 'point_of_interest']}",11.055485,124.5663306,"Ormoc Airport (OMC), Ormoc, 6541 Leyte, Philippines"
2016-04-16,RP-C2844,Cessna 152,Flat Spot during Landing,"Omni Clark, Clark Field Pampanga",Completed,Summary,http://www.caap.gov.ph?download=4392,"{'address_components': [{'long_name': 'Angeles', 'short_name': 'AC', 'types': ['locality', 'political']}, {'long_name': 'Pampanga', 'short_name': 'Pampanga', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '2009', 'short_name': '2009', 'types': ['postal_code']}], 'formatted_address': 'Omni Driveway, Angeles, 2009 Pampanga, Philippines', 'geometry': {'location': {'lat': 15.1699534, 'lng': 120.5638679}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 15.1713023802915, 'lng': 120.5652168802915}, 'southwest': {'lat': 15.1686044197085, 'lng': 120.5625189197085}}}, 'place_id': 'ChIJrXO3pILyljMRy99b7FejM5o', 'plus_code': {'compound_code': '5H97+XG Angeles, Pampanga, Philippines', 'global_code': '7Q725H97+XG'}, 'types': ['establishment', 'point_of_interest', 'university']}",15.1699534,120.5638679,"Omni Driveway, Angeles, 2009 Pampanga, Philippines"
2016-04-10,RP-C1123,PA 34-200,Nose landing gear failure during landing,"Subic International Airport, Subic Bay Freeport Zone, Zambales",On-going,Interim Report,http://www.caap.gov.ph?download=7974,"{'address_components': [{'long_name': 'Naval Air Station Cubi Point', 'short_name': 'Naval Air Station Cubi Point', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Subic Bay Freeport Zone', 'short_name': 'Subic Bay Freeport Zone', 'types': ['locality', 'political']}, {'long_name': 'Bataan', 'short_name': 'Bataan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Luzon', 'short_name': 'Central Luzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Naval Air Station Cubi Point, Subic Bay Freeport Zone, Bataan, Philippines', 'geometry': {'location': {'lat': 14.795372, 'lng': 120.2827303}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.7967209802915, 'lng': 120.2840792802915}, 'southwest': {'lat': 14.7940230197085, 'lng': 120.2813813197085}}}, 'place_id': 'ChIJQYCC--BzljMRf1VEGznl3B0', 'plus_code': {'compound_code': 'Q7WM+43 Subic Bay Freeport Zone, Philippines', 'global_code': '7Q62Q7WM+43'}, 'types': ['airport', 'establishment', 'point_of_interest']}",14.795372,120.2827303,"Naval Air Station Cubi Point, Subic Bay Freeport Zone, Bataan, Philippines"
2016-04-07,RP-R5838,AG-CAT G164A,Uncontrolled flight into terrain,"Brgy. Poblacion, Lambayong Sultan Kudarat, Maguindanao",On-going,Interim Report,http://www.caap.gov.ph?download=7982,"{'address_components': [{'long_name': 'Lambayong', 'short_name': 'Lambayong', 'types': ['locality', 'political']}, {'long_name': 'Sultan Kudarat', 'short_name': 'Sultan Kudarat', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Region XII', 'short_name': 'SOCCSKSARGEN', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Lambayong, Sultan Kudarat, Philippines', 'geometry': {'location': {'lat': 6.8001966, 'lng': 124.6341161}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 6.801545580291502, 'lng': 124.6354650802915}, 'southwest': {'lat': 6.798847619708497, 'lng': 124.6327671197085}}}, 'place_id': 'ChIJ02nzWwxx-DIRBNpiY6vVIls', 'plus_code': {'compound_code': 'RJ2M+3J Lambayong, Sultan Kudarat, Philippines', 'global_code': '6QR6RJ2M+3J'}, 'types': ['establishment', 'point_of_interest']}",6.8001966,124.6341161,"Lambayong, Sultan Kudarat, Philippines"
2016-02-08,RP-C5090,R44 II,Forced landing due to engine problem,"Shoreline of Sambiray, Caticlan, Aklan, Philippines",On-going,Interim Report,http://www.caap.gov.ph?download=7989,"{'address_components': [{'long_name': 'Malay', 'short_name': 'Malay', 'types': ['locality', 'political']}, {'long_name': 'Aklan', 'short_name': 'Aklan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Western Visayas', 'short_name': 'Western Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Malay, Aklan, Philippines', 'geometry': {'location': {'lat': 11.9175274, 'lng': 121.946549}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 11.9188763802915, 'lng': 121.9478979802915}, 'southwest': {'lat': 11.9161784197085, 'lng': 121.9452000197085}}}, 'partial_match': True, 'place_id': 'ChIJofhLfu4_pTMRSTUv1x3Jxzg', 'plus_code': {'compound_code': 'WW9W+2J Caticlan, Malay, Aklan, Philippines', 'global_code': '7Q33WW9W+2J'}, 'types': ['establishment', 'point_of_interest']}",11.9175274,121.946549,"Malay, Aklan, Philippines"
